Designator,Mid X,Mid Y,Rotation,Layer
C1,136.698611,-125.697916,180.0,bottom
C10,136.495019,-114.099536,90.0,bottom
C11,138.695019,-112.199536,90.0,bottom
C12,137.595019,-112.199536,90.0,bottom
C13,139.795019,-112.199536,90.0,bottom
C14,134.6,-114.5,0.0,bottom
C15,135.6,-111.5,180.0,bottom
C16,129.2,-114.5,180.0,bottom
C17,131.3,-118.5,90.0,bottom
C18,131.7,-133.1,90.0,bottom
C19,115.802048,-143.517845,0.0,bottom
C2,117.202048,-137.117845,0.0,bottom
C20,117.702048,-143.517845,0.0,bottom
C21,120.802048,-135.017845,180.0,bottom
C22,121.195891,-142.293086,270.0,bottom
C23,117.202048,-135.017845,0.0,bottom
C24,130.1,-128.3,270.0,bottom
C25,127.3,-128.3,270.0,bottom
C26,128.7,-128.3,270.0,bottom
C27,148.3,-124.9,180.0,bottom
C28,142.9,-124.9,180.0,bottom
C29,148.890552,-137.896309,180.0,bottom
C3,112.296462,-142.902148,180.0,bottom
C30,143.1,-132.3,180.0,bottom
C31,143.29363,-137.793134,180.0,bottom
C32,148.74864,-132.243703,180.0,bottom
C33,132.8,-133.1,90.0,bottom
C34,133.9,-133.1,90.0,bottom
C35,135.0,-133.1,90.0,bottom
C36,130.6,-133.1,270.0,bottom
C37,129.5,-133.1,270.0,bottom
C38,128.4,-133.1,270.0,bottom
C39,127.3,-133.1,270.0,bottom
C4,132.8,-118.7,270.0,bottom
C5,112.3,-139.7,180.0,bottom
C6,144.3,-115.2,90.0,bottom
C7,132.8,-115.8,90.0,bottom
C8,134.9,-122.8,0.0,bottom
C9,138.695019,-114.099536,90.0,bottom
D2,149.4,-107.8,180.0,bottom
D7,130.0,-120.45,0.0,top
G2,130.0,-127.0,0.0,top
J1,112.2,-127.4,90.0,bottom
J2,131.1,-139.8725,180.0,bottom
J3,135.1,-108.3125,90.0,bottom
J4,124.1,-109.8,0.0,bottom
J5,113.7,-116.245,90.0,bottom
L1,137.595019,-114.099536,90.0,bottom
L2,135.1,-113.0,270.0,bottom
L4,112.602048,-135.717845,270.0,bottom
Q1,118.976708,-118.837083,180.0,bottom
Q2,120.5,-130.7,270.0,bottom
Q3,119.976708,-115.037083,0.0,bottom
Q4,122.3,-126.4,270.0,bottom
Q5,124.1,-130.7,270.0,bottom
R1,147.8,-117.4,0.0,bottom
R10,117.0,-127.9,180.0,bottom
R11,117.0,-126.7,180.0,bottom
R12,136.3,-124.2,270.0,bottom
R13,135.2,-124.2,270.0,bottom
R15,139.6,-124.2,270.0,bottom
R16,138.5,-124.2,270.0,bottom
R17,137.4,-124.2,270.0,bottom
R18,131.292776,-116.090643,270.0,bottom
R19,131.8,-122.0,180.0,bottom
R2,119.6,-141.5,90.0,bottom
R21,127.3,-126.3,270.0,bottom
R22,128.7,-126.3,270.0,bottom
R23,131.8,-123.1,180.0,bottom
R24,131.8,-124.2,180.0,bottom
R25,119.6,-143.4,90.0,bottom
R26,117.376708,-115.837083,90.0,bottom
R27,121.576708,-118.037083,90.0,bottom
R28,122.3,-129.0,180.0,bottom
R29,120.6,-133.3,180.0,bottom
R3,149.7,-117.4,0.0,bottom
R30,137.7,-134.2,0.0,bottom
R37,150.4,-138.3,90.0,bottom
R38,149.8,-136.7,180.0,bottom
R39,145.8,-131.4,90.0,bottom
R4,145.9,-117.4,0.0,bottom
R40,144.4,-142.0,180.0,bottom
R41,124.694464,-127.396818,270.0,bottom
R42,146.0,-123.4,90.0,bottom
R43,144.9,-123.4,90.0,bottom
R44,130.1,-126.3,270.0,bottom
R5,147.4,-107.8,0.0,bottom
R8,116.6,-129.6,270.0,bottom
R9,116.6,-125.1,90.0,bottom
SW_BOOT1,122.8,-127.0,90.0,top
SW_RST1,137.2,-127.0,90.0,top
SW_USR1,130.0,-127.0,90.0,top
U1,137.2,-118.6,270.0,bottom
U10,142.3,-140.0,90.0,bottom
U11,120.899378,-138.307168,90.0,bottom
U2,147.796924,-112.491698,180.0,bottom
U3,137.5,-128.5,0.0,bottom
U4,117.299407,-140.799999,90.0,bottom
U5,148.3,-127.8,0.0,bottom
U6,142.8625,-127.85,0.0,bottom
U7,147.890552,-139.996309,90.0,bottom
U8,147.874071,-134.559205,90.0,bottom
U9,142.283519,-134.562896,90.0,bottom
Y1,128.8,-117.3,270.0,bottom
